_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,_source_http_response_status_code,_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1041868014,192.168.84.173,192.168.84.177,51594.0,8761.0,804,556,PUT /eureka/apps/API-GATEWAY/cloud-gateway-app-75d45c98bc-mjlxt:API-GATEWAY:9191,>eureka>apps>API-GATEWAY>cloud-gateway-app-75d45c98bc-mjlxt-API-GATEWAY-9191,8761.0,200.0,put,gateway,service-registry-eureka-0
1041868015,192.168.84.173,192.168.84.177,51594.0,8761.0,721,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,gateway,service-registry-eureka-0
1041868016,192.168.84.176,192.168.84.177,50284.0,8761.0,891,574,PUT /eureka/apps/DEPARTMENT-SERVICE/department-service-app-7488fb859-xhkx5:DEPARTMENT-SERVICE:9001,>eureka>apps>DEPARTMENT-SERVICE>department-service-app-7488fb859-xhkx5-DEPARTMENT-SERVICE-9001,8761.0,200.0,put,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041868017,192.168.84.176,192.168.84.177,50284.0,8761.0,719,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041868034,192.168.84.172,192.168.84.177,36888.0,8761.0,924,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041868034,192.168.84.172,192.168.84.177,48658.0,8761.0,749,557,PUT /eureka/apps/USER-SERVICE/user-service-app-686f9cf445-z24rf:USER-SERVICE:9002,>eureka>apps>USER-SERVICE>user-service-app-686f9cf445-z24rf-USER-SERVICE-9002,8761.0,200.0,put,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041868038,192.168.84.175,192.168.84.177,51336.0,8761.0,1462,572,PUT /eureka/apps/HYSTRIX-DASHBOARD/hystrix-dashboard-app-56bfb9cf56-x9jbs:HYSTRIX-DASHBOARD:9295,>eureka>apps>HYSTRIX-DASHBOARD>hystrix-dashboard-app-56bfb9cf56-x9jbs-HYSTRIX-DASHBOARD-9295,8761.0,200.0,put,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041868038,192.168.84.175,192.168.84.177,54914.0,8761.0,787,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041868040,192.168.84.174,192.168.84.177,58656.0,8761.0,1472,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041868040,192.168.84.174,192.168.84.177,58656.0,8761.0,1077,566,PUT /eureka/apps/CONFIG-SERVER/cloud-config-server-app-6775fc455f-z28gs:CONFIG-SERVER:9296,>eureka>apps>CONFIG-SERVER>cloud-config-server-app-6775fc455f-z28gs-CONFIG-SERVER-9296,8761.0,200.0,put,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041868044,192.168.84.173,192.168.84.177,51594.0,8761.0,785,556,PUT /eureka/apps/API-GATEWAY/cloud-gateway-app-75d45c98bc-mjlxt:API-GATEWAY:9191,>eureka>apps>API-GATEWAY>cloud-gateway-app-75d45c98bc-mjlxt-API-GATEWAY-9191,8761.0,200.0,put,gateway,service-registry-eureka-0
1041868045,192.168.84.173,192.168.84.177,51594.0,8761.0,847,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,gateway,service-registry-eureka-0
1041868046,192.168.84.176,192.168.84.177,50284.0,8761.0,928,574,PUT /eureka/apps/DEPARTMENT-SERVICE/department-service-app-7488fb859-xhkx5:DEPARTMENT-SERVICE:9001,>eureka>apps>DEPARTMENT-SERVICE>department-service-app-7488fb859-xhkx5-DEPARTMENT-SERVICE-9001,8761.0,200.0,put,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041868047,192.168.84.176,192.168.84.177,50284.0,8761.0,840,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,department-service-app-7488fb859-xhkx5,service-registry-eureka-0
1041868064,192.168.84.172,192.168.84.177,48658.0,8761.0,699,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041868064,192.168.84.172,192.168.84.177,36888.0,8761.0,739,557,PUT /eureka/apps/USER-SERVICE/user-service-app-686f9cf445-z24rf:USER-SERVICE:9002,>eureka>apps>USER-SERVICE>user-service-app-686f9cf445-z24rf-USER-SERVICE-9002,8761.0,200.0,put,user-service-app-686f9cf445-z24rf,service-registry-eureka-0
1041868068,192.168.84.175,192.168.84.177,54914.0,8761.0,1240,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041868068,192.168.84.175,192.168.84.177,51336.0,8761.0,2556,572,PUT /eureka/apps/HYSTRIX-DASHBOARD/hystrix-dashboard-app-56bfb9cf56-x9jbs:HYSTRIX-DASHBOARD:9295,>eureka>apps>HYSTRIX-DASHBOARD>hystrix-dashboard-app-56bfb9cf56-x9jbs-HYSTRIX-DASHBOARD-9295,8761.0,200.0,put,hystrix-dashboard-app-56bfb9cf56-x9jbs,service-registry-eureka-0
1041868070,192.168.84.174,192.168.84.177,58656.0,8761.0,788,566,PUT /eureka/apps/CONFIG-SERVER/cloud-config-server-app-6775fc455f-z28gs:CONFIG-SERVER:9296,>eureka>apps>CONFIG-SERVER>cloud-config-server-app-6775fc455f-z28gs-CONFIG-SERVER-9296,8761.0,200.0,put,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
1041868070,192.168.84.174,192.168.84.177,58656.0,8761.0,1243,574,GET /eureka/apps/delta,>eureka>apps>delta,8761.0,200.0,get,cloud-config-server-app-6775fc455f-z28gs,service-registry-eureka-0
